Date,A,B,C
,-7.288692,-10.199027,20.584257
,-7.406296,-10.374666,20.666606
,-7.526181,-10.55051,20.758164
,-7.64826,-10.726256,20.859097
,-7.772437,-10.901582,20.969559
,-7.898605,-11.076143,21.089693
,-8.02665,-11.24957,21.219624
,-8.156447,-11.421471,21.359466
,-8.287857,-11.59143,21.50931
,-8.420734,-11.759008,21.669228
,-8.554917,-11.923745,21.839267
,-8.690235,-12.085155,22.019449
,-8.826501,-12.242734,22.209768
,-8.96352,-12.395957,22.410185
,-9.101079,-12.544278,22.620627
,-9.238954,-12.687136,22.840987
,-9.376907,-12.823953,23.071114
,-9.514687,-12.954141,23.310818
,-9.652028,-13.077098,23.559865
,-9.788652,-13.192219,23.817971
,-9.924268,-13.298893,24.084807
,-10.058573,-13.396509,24.359989
,-10.191249,-13.484464,24.643083
,-10.321972,-13.56216,24.933601
,-10.450402,-13.629014,25.230999
,-10.576195,-13.684465,25.534681
,-10.698994,-13.727973,25.843992
,-10.81844,-13.759029,26.158226
,-10.934166,-13.77716,26.476624
,-11.045802,-13.781935,26.798376
,-11.152976,-13.772967,27.122621
,-11.25532,-13.749926,27.448458
,-11.352463,-13.712537,27.774942
,-11.444043,-13.660588,28.101093
,-11.529705,-13.593937,28.4259
,-11.609101,-13.512512,28.748327
,-11.681899,-13.416317,29.067322
,-11.747779,-13.305434,29.38182
,-11.806439,-13.180027,29.690754
,-11.857597,-13.040342,29.99306
,-11.900995,-12.886706,30.287691
,-11.936396,-12.719528,30.573618
,-11.963593,-12.539299,30.849842
,-11.982407,-12.346586,31.115404
,-11.992689,-12.142032,31.369389
,-11.994324,-11.92635,31.610937
,-11.987229,-11.700316,31.839249
,-11.971356,-11.464767,32.053591
,-11.946696,-11.22059,32.253305
,-11.913271,-10.968717,32.437809
,-11.871142,-10.710115,32.606603
,-11.820408,-10.445782,32.759272
,-11.7612,-10.176731,32.895489
,-11.693687,-9.903988,33.015012
,-11.618068,-9.628579,33.11769
,-11.534579,-9.351525,33.203455
,-11.443482,-9.07383,33.272327
,-11.345071,-8.796476,33.324406
,-11.239664,-8.520413,33.359869
,-11.127605,-8.246555,33.378968
,-11.009259,-7.975773,33.382021
,-10.885009,-7.70889,33.369412
,-10.755254,-7.446675,33.341578
,-10.620409,-7.189841,33.299009
,-10.480897,-6.939041,33.242236
,-10.337149,-6.69487,33.17183
,-10.189602,-6.457857,33.088391
,-10.038696,-6.22847,32.992544
,-9.884869,-6.007115,32.884932
,-9.728559,-5.794135,32.76621
,-9.570195,-5.589816,32.63704
,-9.410205,-5.394384,32.498085
,-9.249002,-5.20801,32.350007
,-9.086994,-5.030813,32.193458
,-8.924572,-4.862862,32.029081
,-8.762116,-4.704183,31.857502
,-8.599991,-4.554755,31.679333
,-8.438546,-4.414524,31.495164
,-8.278113,-4.283396,31.305565
,-8.119007,-4.16125,31.111081
,-7.961525,-4.047934,30.912234
,-7.805947,-3.943274,30.709523
,-7.652533,-3.847076,30.503417
,-7.501527,-3.759128,30.294363
